EN 3110,MTWF 0800-0850,MTWF 0900-0950,MTWF 1000-1050,MW 1100-1150,MWF 1310-1400,MTWF 0800-0850,MTWF 0900-0950,MTWF 1000-1050,TR 1100-1215,TR 1320-1435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN 3111,MWF 0900-0950,MWF 1000-1050,MWF 1100-1150,MWF 1310-1400,MWF 1410-1500,TR 0810-0925,TR 0935-1050,TR 1100-1215,TR 1320-1435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN 3112,MWF 0800-0850,MTWF 0900-0950,MWF 1000-1050,MWF 1100-1150,MTWF 0900-0950,TR 1100-1215,TR 1320-1435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN 3114,MWF 0900-0950,MWF 1000-1050,MWF 1100-1150,MWF 1310-1400,M 1510-1700,TR 0935-1050,TR 1100-1215,TR 1320-1435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN 4023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN 4045,TR 0935-1050,TR 1100-1215,TR 1320-1435,TR 0935-1050,TR 1100-1215,TR 1320-1435,R 1445-1725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN 4066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN 5038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN 6060,MW 0900-1015,MW 1045-1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN 6085,MW 0900-1015,MW 1320-1435,M 1510-1600,T 1500-1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES 1004,T 0935-1050,R 0900-1050,R 1110-1300,R 1310-1500,R 1510-1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES 1006,MWF 1200-1250,TR 1445-1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES 1038,TR 1220-1310,TR 1810-2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GE 0202,W 1310-1500,R 1310-1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GE 0211,W 1000-1150,W 1310-1500,W 1510-1700,R 0800-0950,R 1000-1150,R 1310-1500,R 1510-1700,R 1900-2050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GE 0213,T 0800-0900,TR 1700-1800,W 1400-1500,F 1300-1350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
